date,event
2011-02-06,SuperBowl
2011-02-14,ValentinesDay
2011-02-21,PresidentsDay
2011-03-09,LentStart
2011-03-16,LentWeek2
2011-03-17,StPatricksDay
2011-03-20,Purim End
2011-04-24,"OrthodoxEaster, Easter"
2011-04-26,Pesach End
2011-05-05,Cinco De Mayo
2011-05-08,Mother's day
2011-05-30,MemorialDay
2011-05-31,NBAFinalsStart
2011-06-12,NBAFinalsEnd
2011-06-19,Father's day
2011-07-04,IndependenceDay
2011-08-01,Ramadan starts
2011-08-31,Eid al-Fitr
2011-09-05,LaborDay
2011-10-10,ColumbusDay
2011-10-31,Halloween
2011-11-07,EidAlAdha
2011-11-11,VeteransDay
2011-11-24,Thanksgiving
2011-12-25,Christmas
2011-12-28,Chanukah End
2012-01-01,NewYear
2012-01-07,OrthodoxChristmas
2012-01-16,MartinLutherKingDay
2012-02-05,SuperBowl
2012-02-14,ValentinesDay
2012-02-20,PresidentsDay
2012-02-22,LentStart
2012-02-29,LentWeek2
2012-03-08,Purim End
2012-03-17,StPatricksDay
2012-04-08,Easter
2012-04-14,Pesach End
2012-04-15,OrthodoxEaster
2012-05-05,Cinco De Mayo
2012-05-13,Mother's day
2012-05-28,MemorialDay
2012-06-12,NBAFinalsStart
2012-06-17,Father's day
2012-06-21,NBAFinalsEnd
2012-07-04,IndependenceDay
2012-07-20,Ramadan starts
2012-08-19,Eid al-Fitr
2012-09-03,LaborDay
2012-10-08,ColumbusDay
2012-10-26,EidAlAdha
2012-10-31,Halloween
2012-11-11,VeteransDay
2012-11-22,Thanksgiving
2012-12-16,Chanukah End
2012-12-25,Christmas
2013-01-01,NewYear
2013-01-07,OrthodoxChristmas
2013-01-21,MartinLutherKingDay
2013-02-03,SuperBowl
2013-02-13,LentStart
2013-02-14,ValentinesDay
2013-02-18,PresidentsDay
2013-02-20,LentWeek2
2013-02-24,Purim End
2013-03-17,StPatricksDay
2013-03-31,Easter
2013-04-02,Pesach End
2013-05-05,"OrthodoxEaster, Cinco De Mayo"
2013-05-12,Mother's day
2013-05-27,MemorialDay
2013-06-06,NBAFinalsStart
2013-06-16,Father's day
2013-06-20,NBAFinalsEnd
2013-07-04,IndependenceDay
2013-07-09,Ramadan starts
2013-08-08,Eid al-Fitr
2013-09-02,LaborDay
2013-10-14,ColumbusDay
2013-10-15,EidAlAdha
2013-10-31,Halloween
2013-11-11,VeteransDay
2013-11-28,Thanksgiving
2013-12-05,Chanukah End
2013-12-25,Christmas
2014-01-01,NewYear
2014-01-07,OrthodoxChristmas
2014-01-20,MartinLutherKingDay
2014-02-02,SuperBowl
2014-02-14,ValentinesDay
2014-02-17,PresidentsDay
2014-03-05,LentStart
2014-03-12,LentWeek2
2014-03-16,Purim End
2014-03-17,StPatricksDay
2014-04-20,"Easter, OrthodoxEaster"
2014-04-22,Pesach End
2014-05-05,Cinco De Mayo
2014-05-11,Mother's day
2014-05-26,MemorialDay
2014-06-05,NBAFinalsStart
2014-06-15,"NBAFinalsEnd, Father's day"
2014-06-29,Ramadan starts
2014-07-04,IndependenceDay
2014-07-29,Eid al-Fitr
2014-09-01,LaborDay
2014-10-04,EidAlAdha
2014-10-13,ColumbusDay
2014-10-31,Halloween
2014-11-11,VeteransDay
2014-11-27,Thanksgiving
2014-12-24,Chanukah End
2014-12-25,Christmas
2015-01-01,NewYear
2015-01-07,OrthodoxChristmas
2015-01-19,MartinLutherKingDay
2015-02-01,SuperBowl
2015-02-14,ValentinesDay
2015-02-16,PresidentsDay
2015-02-18,LentStart
2015-02-25,LentWeek2
2015-03-05,Purim End
2015-03-17,StPatricksDay
2015-04-05,Easter
2015-04-11,Pesach End
2015-04-12,OrthodoxEaster
2015-05-05,Cinco De Mayo
2015-05-10,Mother's day
2015-05-25,MemorialDay
2015-06-04,NBAFinalsStart
2015-06-16,NBAFinalsEnd
2015-06-18,Ramadan starts
2015-06-21,Father's day
2015-07-04,IndependenceDay
2015-07-18,Eid al-Fitr
2015-09-07,LaborDay
2015-09-24,EidAlAdha
2015-10-12,ColumbusDay
2015-10-31,Halloween
2015-11-11,VeteransDay
2015-11-26,Thanksgiving
2015-12-14,Chanukah End
2015-12-25,Christmas
2016-01-01,NewYear
2016-01-07,OrthodoxChristmas
2016-01-18,MartinLutherKingDay
2016-02-07,SuperBowl
2016-02-10,LentStart
2016-02-14,ValentinesDay
2016-02-15,PresidentsDay
2016-02-17,LentWeek2
2016-03-17,StPatricksDay
2016-03-24,Purim End
2016-03-27,Easter
2016-04-30,Pesach End
2016-05-01,OrthodoxEaster
2016-05-05,Cinco De Mayo
2016-05-08,Mother's day
2016-05-30,MemorialDay
2016-06-02,NBAFinalsStart
2016-06-07,Ramadan starts
2016-06-19,"NBAFinalsEnd, Father's day"
